Update Managed Component D3 From CMP-0648-00002-1[1N4148] To CMP-0648-00002-1[1N4148] in controller.SchDoc
Replace Part IC3 ATMEGA4809-PF in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with ATMEGA4809-PF from 8bit.SchLib
Replace Part K4 10129380-903001ALF in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with 10129380-903001ALF from pin1x3.SchLib
Replace Part K5 M20-9990245 in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with M20-9990245 from 1x2.SchLib
Replace Part K6 825433-5 in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with 825433-5 from pin1x5.SchLib
Replace Part k7 10129380-903001ALF in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with 10129380-903001ALF from pin1x3.SchLib
Replace Part K9 825433-5 in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with 825433-5 from pin1x5.SchLib
Replace Part K10 10129380-903001ALF in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with 10129380-903001ALF from pin1x3.SchLib
Replace Part k11 M22-5320305R in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with M22-5320305R from pin2x3.SchLib
Replace Part K12 61201021721 in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with 61201021721 from boxheader.SchLib
Replace Part L1 LQM18FN1R0M00D in F:\altium\projecten2021_22\problemenstudenten2022\indy\project\project\soldeer\soldeer\controller.SchDoc with LQM18FN1R0M00D from smoor1.SchLib
